"abra_license"	"dcra_num"	"trade_name"	"abra_class"	"abra_endorsements"	"abra_status"	"dcra_status"	"category"	"dcra_start"	"dcra_exp"	"dcra_issue"	"address"	"city"	"state"	"zip"	"ward"	"anc"	"mpd_dist"	"lat"	"lng"
"ABRA-089286"	"931312000243"	"DEL FRISCO'S RESTAURANT GROUP LLC"	"A"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
"ABRA-089428"	"931312000243"	"DEL FRISCO'S RESTAURANT GROUP LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
"ABRA-089845"	"931312000243"	"DEL FRISCO'S RESTAURANT GROUP LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
	"69008511"	"DELIZIQUE"				"ACTIVE"	"Restaurant"	"2016-06-01T00:00:00.000Z"	"2018-05-31T00:00:00.000Z"	"2016-05-19T00:00:00.000Z"	"650 MASSACHUSETTS AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.901654"	"-77.021428"
	"69008511"	"DELIZIQUE"				"READY TO RENEW"	"Restaurant"	"2014-06-01T00:00:00.000Z"	"2016-05-31T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"650 MASSACHUSETTS AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"2"	"2C"	"FIRST"	"38.901654"	"-77.021428"
"ABRA-018083"	"39405634"	"DELUCA GEORGETOWN INC"	"B"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-29T00:00:00.000Z"	"3276 M STREET NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.90476"	"-77.065148"
	"931312000060"	"DENNY'S RESTAURANT"				"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-09-29T00:00:00.000Z"	"1250 BLADENSBURG ROAD NE"	"WASHINGTON"	"DC"	"20002"	"5"	"5B"	"FIFTH"	"38.906782"	"-76.979484"
"ABRA-084731"	"70106104"	"DESPERADOS PIZZA LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-07-01T00:00:00.000Z"	"2016-06-30T00:00:00.000Z"	"2016-04-08T00:00:00.000Z"	"1342 U STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.916796"	"-77.03124"
	"931316000037"	"DESTA ETHIOPIAN RESTAURANT LLC."				"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-12-03T00:00:00.000Z"	"6128 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4A"	"FOURTH"	"38.964804"	"-77.027941"
"ABRA-091013"	"931314000240"	"DEVON & BLAKELY"	"A"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-07-01T00:00:00.000Z"	"2016-06-30T00:00:00.000Z"	"2016-04-08T00:00:00.000Z"	"1776 G STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.898099"	"-77.041176"
	"70101818"	"DEVON & BLAKELY"				"ACTIVE"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-03-22T00:00:00.000Z"	"919 18TH STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.90188"	"-77.041283"
	"70101818"	"DEVON & BLAKELY"				"ACTIVE"	"Restaurant"	"2016-03-01T00:00:00.000Z"	"2018-02-28T00:00:00.000Z"	"2016-03-22T00:00:00.000Z"	"919 18TH STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.90188"	"-77.041283"
"ABRA-097569"	"931315000071"	"Dew Drop Inn L.L.C."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-12-01T00:00:00.000Z"	"2016-11-30T00:00:00.000Z"	"2015-01-06T00:00:00.000Z"	"2801 8TH STREET NE"	"WASHINGTON"	"DC"	"20017"	"5"	"5C"	"FIFTH"	"38.925966"	"-76.994731"
"ABRA-088831"	"931313000034"	"DGS DELICATESSEN"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-11-01T00:00:00.000Z"	"2016-10-31T00:00:00.000Z"	"2014-11-15T00:00:00.000Z"	"1317 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.907854"	"-77.041979"
	"931313000235"	"DHS Cafeteria; John-Michael Hamlet"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-06-11T00:00:00.000Z"	"3801 NEBRASKA AVENUE NW"	"WASHINGTON"	"DC"	"20528"	"3"	"3E"	"SECOND"	"38.939545"	"-77.084319"
"ABRA-090337"	"931312000338"	"DIAMIONDROCK DC M STREET TENANT, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-09-12T00:00:00.000Z"	"1400 M STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.905316"	"-77.033436"
"ABRA-090337"	"931312000344"	"DIAMIONDROCK DC M STREET TENANT, LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2014-09-12T00:00:00.000Z"	"1400 M STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.905316"	"-77.033436"
"ABRA-090337"	"931312000338"	"DIAMIONDROCK DC M STREET TENANT, LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"1400 M STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.905316"	"-77.033436"
"ABRA-090337"	"931312000344"	"DIAMIONDROCK DC M STREET TENANT, LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-08-01T00:00:00.000Z"	"2016-07-31T00:00:00.000Z"	"2016-05-06T00:00:00.000Z"	"1400 M STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2F"	"SECOND"	"38.905316"	"-77.033436"
"ABRA-082216"	"931314000242"	"DICKSON THC LLC"	"C"		"Active"	"READY TO RENEW"	"Restaurant"	"2014-07-01T00:00:00.000Z"	"2016-06-30T00:00:00.000Z"	"2016-04-08T00:00:00.000Z"	"903 U STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.917161"	"-77.02425"
"ABRA-010135"	"50006342"	"DIPLOMATIC AND CONSULAR OFFICE"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-05T00:00:00.000Z"	"1801 F STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.897559"	"-77.041985"
"ABRA-010135"	"50006342"	"DIPLOMATIC AND CONSULAR OFFICERS, RETIRED INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"1801 F STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2A"	"SECOND"	"38.897559"	"-77.041985"
"ABRA-070893"	"931314000232"	"DIRECTOR OF FINANCE"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-07-01T00:00:00.000Z"	"2018-06-30T00:00:00.000Z"	"2016-05-18T00:00:00.000Z"	"775 12TH STREET NW"	"WASHINGTON"	"DC"	"20005"	"2"	"2C"	"FIRST"	"38.899361"	"-77.027786"
"ABRA-091619"	"931313000156"	"DIRECTOR OF FINANCE C/O WASHINGTON COUTYARD BY MARRIOTT"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-03-01T00:00:00.000Z"	"2017-02-28T00:00:00.000Z"	"2015-02-27T00:00:00.000Z"	"1900 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2D"	"SECOND"	"38.916029"	"-77.046873"
"ABRA-087574"	"931312000085"	"DISTRICT KITCHEN LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-12-01T00:00:00.000Z"	"2017-11-30T00:00:00.000Z"	"2015-11-30T00:00:00.000Z"	"2606 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"3"	"3C"	"SECOND"	"38.92389"	"-77.052122"
"ABRA-086361"	"931311003520"	"DISTRICT OF PI"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"910 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.897136"	"-77.02473"
"ABRA-090757"	"931313000107"	"DISTRICT TACO"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2015-01-01T00:00:00.000Z"	"2016-12-31T00:00:00.000Z"	"2014-11-15T00:00:00.000Z"	"1309 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.897562"	"-77.03016"
"ABRA-092791"	"931313000204"	"District Taco"	"D"		"Active"	"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-03-06T00:00:00.000Z"	"656 PENNSYLVANIA AVENUE SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6B"	"FIRST"	"38.885248"	"-76.996718"
	"931314000159"	"DISTRICT TACO LLC"				"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-17T00:00:00.000Z"	"1919 M STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906012"	"-77.044569"
	"931314000159"	"DISTRICT TACO LLC"				"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-03-17T00:00:00.000Z"	"1919 M STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.906012"	"-77.044569"
"ABRA-082443"	"931312000052"	"DKDC LLC"	"B"		"Active"	"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-11-15T00:00:00.000Z"	"1805 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.914374"	"-77.031583"
"ABRA-078749"	"70102830"	"DODGE CITY"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-02-23T00:00:00.000Z"	"917 U STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.917187"	"-77.024726"
"ABRA-075733"	"931315000019"	"DOGTAG BAKERY INC"	"C"		"Safekeeping"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-10-20T00:00:00.000Z"	"3206 GRACE STREET NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.903857"	"-77.063175"
"ABRA-088683"	"931313000295"	"DOI MOI"	"C"		"ACTIVE"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-07-27T00:00:00.000Z"	"1800 14TH STREET NW"	"WASHINGTON"	"DC"			"NONE"		"0"	"0"
"ABRA-015934"	"71101737"	"DON JUAN RESTAURANT, INC."	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-03-01T00:00:00.000Z"	"2017-02-28T00:00:00.000Z"	"2015-02-18T00:00:00.000Z"	"1660 LAMONT STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1D"	"FOURTH"	"38.931096"	"-77.038641"
	"931314000185"	"Donnie Simpson"				"PENDING"	"Restaurant"	"2014-04-01T00:00:00.000Z"	"2016-03-31T00:00:00.000Z"	"2014-05-13T00:00:00.000Z"	"1817 7TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.914727"	"-77.021718"
	"931315000028"	"DOROTHY I HEIGHT COMMUNITY ACADEMY PUBLIC CHARTER SCHOOL INC"				"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-10-28T00:00:00.000Z"	"1300 ALLISON STREET NW"	"WASHINGTON"	"DC"	"20011"	"4"	"4C"	"FOURTH"	"38.9447"	"-77.030541"
	"40000601"	"DOS GRINGOS CAFE"				"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2016-02-22T00:00:00.000Z"	"3116 MOUNT PLEASANT STREET NW"	"WASHINGTON"	"DC"	"20010"	"1"	"1D"	"FOURTH"	"38.929425"	"-77.037881"
"ABRA-086063"	"931312000015"	"DOUGHBOY ENTERPRISES LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-09-13T00:00:00.000Z"	"2436 18TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1C"	"THIRD"	"38.921537"	"-77.04265"
"ABRA-000616"	"931313000239"	"DOYLE CAFE DUPONT"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-05-20T00:00:00.000Z"	"1500 NEW HAMPSHIRE AVENUE NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.91047"	"-77.043093"
"ABRA-060813"	"40003916"	"DPR II ENTERPRISES INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-04T00:00:00.000Z"	"2100 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.901035"	"-77.04721"
"ABRA-060813"	"40003916"	"DPR II ENTERPRISES INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-04T00:00:00.000Z"	"2100 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20037"	"2"	"2A"	"SECOND"	"38.901035"	"-77.04721"
"ABRA-087398"	"71103270"	"DRANE FLANNERY RESTAURANT LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-05-28T00:00:00.000Z"	"421 H STREET NE"	"WASHINGTON"	"DC"	"20002"	"6"	"6C"	"FIRST"	"38.900061"	"-76.999766"
"ABRA-100490"	"931315000247"	"Dreamogawa,Inc; Yumiko Stegner"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-09-28T00:00:00.000Z"	"2100 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"2"	"2D"	"SECOND"	"38.917948"	"-77.047724"
"ABRA-093399"	"931314000167"	"DRIFT ON 7TH"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-04-01T00:00:00.000Z"	"2018-03-31T00:00:00.000Z"	"2016-02-12T00:00:00.000Z"	"1819 7TH STREET NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.914775"	"-77.021717"
"ABRA-086210"	"931314000287"	"DRIFTWOOD KITCHEN"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-09-01T00:00:00.000Z"	"2016-08-31T00:00:00.000Z"	"2014-09-16T00:00:00.000Z"	"400 H STREET NE"	"WASHINGTON"	"DC"	"20002"	"6"	"6C"	"FIRST"	"38.90046"	"-77.000399"
	"69003001"	"DTI-CAPITAL HILL LLC"				"ACTIVE"	"Restaurant"	"2015-04-01T00:00:00.000Z"	"2017-03-31T00:00:00.000Z"	"2015-07-29T00:00:00.000Z"						"NONE"		"0"	"0"
"ABRA-072156"	"53002493"	"DUBLINER INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-04-17T00:00:00.000Z"	"520 NORTH CAPITOL STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.897085"	"-77.009478"
"ABRA-072156"	"53002493"	"DUBLINER INC"	"C"		"Active"	"READY TO BATCH PRINT"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-30T00:00:00.000Z"	"520 NORTH CAPITOL STREET NW"	"WASHINGTON"	"DC"	"20001"	"6"	"6C"	"FIRST"	"38.897085"	"-77.009478"
"ABRA-092083"	"931315000223"	"DUE SOUTH"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-08-13T00:00:00.000Z"	"301 WATER STREET SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6D"	"FIRST"	"38.873503"	"-77.001577"
"ABRA-092094"	"931315000223"	"DUE SOUTH"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-08-13T00:00:00.000Z"	"301 WATER STREET SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6D"	"FIRST"	"38.873503"	"-77.001577"
"ABRA-097053"	"931315000223"	"DUE SOUTH"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-08-13T00:00:00.000Z"	"301 WATER STREET SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6D"	"FIRST"	"38.873503"	"-77.001577"
"ABRA-100438"	"931315000230"	"DUFFY'S IRISH RESTAURANT AND PUB"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-08-01T00:00:00.000Z"	"2017-07-31T00:00:00.000Z"	"2015-08-31T00:00:00.000Z"	"2106 VERMONT AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.918417"	"-77.024838"
"ABRA-088870"	"931312000129"	"DULCINEA BAR & GRILL"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2016-01-15T00:00:00.000Z"	"2618 GEORGIA AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.924752"	"-77.022899"
	"65004994"	"DUMBARTON OAKS TRUSTEES FOR HARVARD"				"ACTIVE"	"Restaurant"	"2015-09-01T00:00:00.000Z"	"2017-08-31T00:00:00.000Z"	"2015-11-20T00:00:00.000Z"	"1703 32ND STREET NW"	"WASHINGTON"	"DC"	"20007"	"2"	"2E"	"SECOND"	"38.914133"	"-77.064047"
"ABRA-020640"	"68000615"	"DUMPLINGS AND BEYOND"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2016-01-22T00:00:00.000Z"	"2400 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3B"	"SECOND"	"38.921197"	"-77.072388"
"ABRA-091137"	"68000615"	"DUMPLINGS AND BEYOND"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-02-01T00:00:00.000Z"	"2018-01-31T00:00:00.000Z"	"2016-01-22T00:00:00.000Z"	"2400 WISCONSIN AVENUE NW"	"WASHINGTON"	"DC"	"20007"	"3"	"3B"	"SECOND"	"38.921197"	"-77.072388"
"ABRA-072017"	"64004479"	"DUNMORE LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-12-01T00:00:00.000Z"	"2016-11-30T00:00:00.000Z"	"2014-11-28T00:00:00.000Z"	"223 PENNSYLVANIA AVENUE SE"	"WASHINGTON"	"DC"	"20003"	"6"	"6B"	"FIRST"	"38.886995"	"-77.002652"
"ABRA-091607"	"931314000028"	"Dunya, LLC; Siyamak Sadeghi"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-11-01T00:00:00.000Z"	"2017-10-31T00:00:00.000Z"	"2015-08-27T00:00:00.000Z"	"801 FLORIDA AVENUE NW"	"WASHINGTON"	"DC"	"20001"	"1"	"1B"	"THIRD"	"38.916955"	"-77.023082"
	"931315000186"	"DUO COFFEE INC"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-06-16T00:00:00.000Z"	"1309 19TH STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.907942"	"-77.043213"
	"71103216"	"DUPONT COFFEE SHOP INC"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-06-23T00:00:00.000Z"	"1234 19TH STREET NW"	"WASHINGTON"	"DC"	"20036"	"2"	"2B"	"SECOND"	"38.90687"	"-77.043732"
"ABRA-060369"	"68007814"	"DUPONT IMP LLC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-12-01T00:00:00.000Z"	"2016-11-30T00:00:00.000Z"	"2014-11-14T00:00:00.000Z"	"1629 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20009"	"2"	"2B"	"SECOND"	"38.912113"	"-77.044462"
	"39935801"	"E & P INC"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"2420 NEW YORK AVENUE NE"	"WASHINGTON"	"DC"	"20002"	"5"	"5B"	"FIFTH"	"38.917762"	"-76.971183"
	"39935801"	"E & P INC"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-03-10T00:00:00.000Z"	"2420 NEW YORK AVENUE NE"	"WASHINGTON"	"DC"	"20002"	"5"	"5B"	"FIFTH"	"38.917762"	"-76.971183"
"ABRA-097981"	"931315000183"	"E&K Real LLC; Karl M. Leopold"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-02-01T00:00:00.000Z"	"2017-01-31T00:00:00.000Z"	"2015-06-15T00:00:00.000Z"	"2214 RHODE ISLAND AVENUE NE"	"WASHINGTON"	"DC"	"20018"	"5"	"5A"	"FIFTH"	"38.930625"	"-76.973539"
	"67005702"	"EAGLE ACADEMY PUBLIC CHARTER SCHOOL"				"ACTIVE"	"Restaurant"	"2015-10-01T00:00:00.000Z"	"2017-09-30T00:00:00.000Z"	"2015-08-28T00:00:00.000Z"	"3400 WHEELER ROAD SE"	"WASHINGTON"	"DC"	"20032"	"8"	"8E"	"SEVENTH"	"38.840269"	"-76.993037"
	"68006948"	"EAS INC."				"ACTIVE"	"Restaurant"	"2014-11-01T00:00:00.000Z"	"2016-10-31T00:00:00.000Z"	"2014-11-15T00:00:00.000Z"	"4627 41ST STREET NW"	"WASHINGTON"	"DC"	"20016"	"3"	"3E"	"SECOND"	"38.950449"	"-77.08006"
"ABRA-078882"	"69003519"	"EATONVILLE INC"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-04-30T00:00:00.000Z"	"2121 14TH STREET NW"	"WASHINGTON"	"DC"	"20009"	"1"	"1B"	"THIRD"	"38.918385"	"-77.031619"
	"931313000252"	"EBENEZERS COFFEEHOUSE LLC"				"ACTIVE"	"Restaurant"	"2015-06-01T00:00:00.000Z"	"2017-05-31T00:00:00.000Z"	"2015-06-11T00:00:00.000Z"	"201 F STREET NE"	"WASHINGTON"	"DC"	"20002"	"6"	"6C"	"FIRST"	"38.897132"	"-77.003284"
"ABRA-089846"	"931313000040"	"EC RESTAURANTS (DC-19TH) CORP"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-09-06T00:00:00.000Z"	"900 19TH STREET NW"	"WASHINGTON"	"DC"	"20006"	"2"	"2B"	"SECOND"	"38.90164"	"-77.043868"
"ABRA-089286"	"931313000041"	"EC RESTAURANTS (DC-PENN AVE) CORP"	"A"		"Active"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-09-06T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
"ABRA-089428"	"931313000041"	"EC RESTAURANTS (DC-PENN AVE) CORP"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-09-06T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
"ABRA-089845"	"931313000041"	"EC RESTAURANTS (DC-PENN AVE) CORP"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2014-10-01T00:00:00.000Z"	"2016-09-30T00:00:00.000Z"	"2014-09-06T00:00:00.000Z"	"1201 PENNSYLVANIA AVENUE NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2F"	"FIRST"	"38.895709"	"-77.02839"
	"54002086"	"EDDIE CAFE INC"				"ACTIVE"	"Restaurant"	"2016-05-01T00:00:00.000Z"	"2018-04-30T00:00:00.000Z"	"2016-05-10T00:00:00.000Z"	"2600 CONNECTICUT AVENUE NW"	"WASHINGTON"	"DC"	"20008"	"3"	"3C"	"SECOND"	"38.923719"	"-77.052013"
"ABRA-088727"	"931316000091"	"Eddie Schwartz"	"C"		"Active"	"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-02-26T00:00:00.000Z"	"600 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.897101"	"-77.020123"
"ABRA-094801"	"931316000091"	"Eddie Schwartz"	"C"		"405.1 New Const"	"ACTIVE"	"Restaurant"	"2016-01-01T00:00:00.000Z"	"2017-12-31T00:00:00.000Z"	"2016-02-26T00:00:00.000Z"	"600 F STREET NW"	"WASHINGTON"	"DC"	"20004"	"2"	"2C"	"FIRST"	"38.897101"	"-77.020123"
	"67002651"	"EDDIE YUM'S, L.L.C."				"ACTIVE"	"Restaurant"	"2015-05-01T00:00:00.000Z"	"2017-04-30T00:00:00.000Z"	"2015-04-15T00:00:00.000Z"	"4405 SOUTH CAPITOL STREET SW"	"WASHINGTON"	"DC"	"20032"	"8"	"8D"	"SEVENTH"	"38.825817"	"-77.007534"
